,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
fingerprint_H_bit_67,-0.00013742988058073537,0.0003196447427894135,-0.0015970802683857187,-0.0014388341942020765,0.00025801189546969784,0.00029738414382056243,0.0019231962312033397,0.00023091222622372538,-0.013066571536959119,0.007269757777695552,0.019333020847264227,0.001884594159838511,0.006720210287541983,0.04041681021907521,0.04010090643255193
fingerprint_H_bit_68,-0.00015023671538684562,0.002078277221019723,-0.00047525423066045145,-0.0004288904737612193,0.0017614557234034488,0.00017818535356682748,-0.0011894126857164844,-0.0003088593098769638,0.016204737017814434,-0.004436465248486275,-0.007667405054008763,0.010374396961412218,-0.009754477619227455,-0.020498366925186317,-0.01290832546735407
fingerprint_H_bit_69,-0.0001480600390673344,8.312984655488856e-05,-0.0026392266324966594,-0.001923154702333258,4.5438212145483005e-05,0.001057038549203677,0.004545655019075173,-0.0005840382717938669,-0.019973917053249017,0.008172820745476546,0.035106615460359106,0.002531371865210693,-0.006871647180339848,-0.009187334259609251,0.0051645878589838875
fingerprint_H_bit_70,-8.120667628598704e-05,0.0003952277291178994,-0.0012696353282526545,-0.0012721635906693984,0.0005353496160672285,0.00037658895488317375,0.00271498196795869,-0.0006885350543717753,-0.015532294280742709,0.008635352693584307,0.019432759761614564,0.009455674718912939,-0.0037351340823136366,0.026190448553049504,0.029349411039570568
fingerprint_H_bit_74,-5.622320429474829e-05,-7.558298632848663e-05,-0.00032744494013306404,-0.00016667060353267937,-0.0002773377205975309,-7.920481106261298e-05,-0.0007917857367553491,0.0009194472805955032,0.002465722743783583,-0.0013655949158887552,-9.973891435034232e-05,-0.007571080559074452,0.01045534436985564,0.014226361666025701,0.010751495392981385
fingerprint_H_bit_75,-3.652201764184455e-05,-2.7295441861692674e-05,-9.331776963814419e-05,-1.5440451529219292e-05,-0.00012079172970344737,2.5401153783676355e-05,0.00028728836532333654,0.0007712464851139474,0.0015392901787373518,-3.824397836645266e-05,-0.0013807384407395406,-0.0021287279589247273,-0.005483910874412758,-0.00045719568493030147,0.0018760510658129104
fingerprint_H_bit_78,-0.0007223876278005836,0.000295677371105302,0.002434478001910262,0.002234592769318698,-0.005202035080331831,0.0010818988147413087,-0.007458619442837263,-4.36708602110732e-05,-0.012156987343282279,0.002561763806639535,0.008255180368684126,-0.006479949008745799,0.0006897605567802777,-0.001461433871001153,-0.008226213185537451
fingerprint_H_bit_80,0.00016945157636067724,0.0007865120235791348,0.002498066460005146,-0.00013746191993347943,0.000885991798670968,-0.0001368434209300248,-0.0013398816119423761,0.000506669847837472,0.0028957643972865378,0.004035340099210351,0.0023317039182419947,-0.0012872516139449347,0.015889331310032156,0.028994503058942314,0.031027753936109567
fingerprint_H_bit_81,-0.0010797485680780648,0.0020558801027122132,0.0008850837383149938,0.003110740090170707,-0.0030533619064435544,-0.00020319161704081555,-0.008990351868363026,0.0004976157531675018,0.00130056332585914,-0.007949431779182616,-0.031304832740999565,-0.006413542426897892,0.020338222693172585,-0.005292107394307661,-0.005296803573219171
fingerprint_H_bit_84,0.001308921656035455,-0.0018197577147378101,0.0027588513654095387,-0.0012041762102392626,0.0036122385554393944,-0.0010342213988311934,0.004130872573875684,-0.000576515990229576,0.01340087433334968,0.00018970558307812945,0.0037729138983859448,0.008257178641881467,-0.006055770082906339,0.004414510023698492,0.00989260400399677
fingerprint_H_bit_85,0.0005161578783301276,-0.0013824162831714856,0.0054138368935592015,0.0009961761745441674,-0.0013391877435138457,-0.000752857923751654,-0.000980927355169734,-0.000346288201884124,-0.0013729643780371773,0.0005626434162473129,0.0051575304063945695,-0.010832604412549907,0.006863387281228316,0.0025104881999023347,-0.004627331629875157
fingerprint_H_bit_89,-2.5746295937634438e-05,-3.245528369574621e-05,-0.0008489390685811008,-0.0005071585511143757,-0.00017771148773385856,0.000644370468647572,0.00032014605009957373,-0.0005324880408506428,-0.0034449578808031112,0.002362757780052049,0.014873385724232599,-0.007208251943971555,0.006501082691076463,-0.009504214425505234,-0.0023240119483591386
fingerprint_H_bit_90,-4.513577647853161e-06,-0.00013816346223984228,-0.0003506373680629484,0.00020837158955776104,-0.00013023529412187876,-0.00024721668455801463,-0.0003498375202588541,-0.00015598396827351543,-0.0018263005166646,-0.0029407021643699095,-0.014336330226551638,0.006870283064244555,0.005379108659122077,-0.003289696452701671,0.0014788623481560308
fingerprint_H_bit_98,-7.037614990474353e-05,0.00014166406046102332,0.00022050752623939933,-3.4240384535268195e-05,0.000250608781378599,-0.0008005353396617639,0.002346819513791851,0.0002738986485565201,-0.002616851368104587,-0.002188825973470364,-0.006870563860675502,-0.012609834045685539,0.012229396807354378,-0.0004425879527949798,-0.006293722448334485
fingerprint_H_bit_100,-0.0010048588405254682,0.0020523795044910323,0.001015213580138541,0.0029366088851482132,-0.0031737353937002725,0.0008445604071789641,-0.010987333861896027,0.0003797010728844991,0.005743715210628326,-0.0028199036413423446,-0.01009793865377245,-0.000673991445456922,0.0027297172266961614,-0.0015598229888110363,-0.00048194347304073536
fingerprint_H_bit_106,-7.037614990474353e-05,0.00014166406046102332,0.00022050752623939933,-3.4240384535268195e-05,0.000250608781378599,-0.0008005353396617639,0.002346819513791851,0.0002738986485565201,-0.002616851368104587,-0.002188825973470364,-0.006870563860675502,-0.012609834045685539,0.012229396807354378,-0.0004425879527949798,-0.006293722448334485
fingerprint_H_bit_112,-7.037614990474353e-05,0.00014166406046102332,0.00022050752623939933,-3.4240384535268195e-05,0.000250608781378599,-0.0008005353396617639,0.002346819513791851,0.0002738986485565201,-0.002616851368104587,-0.002188825973470364,-0.006870563860675502,-0.012609834045685539,0.012229396807354378,-0.0004425879527949798,-0.006293722448334485
fingerprint_H_bit_113,-0.0009430004930921733,0.002515618652586049,0.002179731297489211,0.0017714619110222136,-0.0031899705755497896,0.0004595488286463705,-0.0063012126147619,-7.863152153151512e-05,0.001430898306427578,-0.004063527415317091,-0.006282788546000135,-0.008715386093019122,0.0031646797449072016,-0.02240238874898245,-0.027428261101225992
fingerprint_H_bit_114,-7.037614990474353e-05,0.00014166406046102332,0.00022050752623939933,-3.4240384535268195e-05,0.000250608781378599,-0.0008005353396617639,0.002346819513791851,0.0002738986485565201,-0.002616851368104587,-0.002188825973470364,-0.006870563860675502,-0.012609834045685539,0.012229396807354378,-0.0004425879527949798,-0.006293722448334485
fingerprint_H_bit_116,-7.488972755259667e-05,3.500598221181029e-06,-0.000130129841823549,0.000174131205022493,0.00012037348725672014,-0.0010477520242197788,0.0019969819935329973,0.00011791468028300473,-0.004443151884769184,-0.005129528137840268,-0.02120689408722715,-0.005739550981440982,0.017608505466476458,-0.0037322844054966456,-0.004814860100178451
fingerprint_H_bit_117,-3.652201764184455e-05,-2.7295441861692674e-05,-9.331776963814419e-05,-1.5440451529219292e-05,-0.00012079172970344737,2.5401153783676355e-05,0.00028728836532333654,0.0007712464851139474,0.0015392901787373518,-3.824397836645266e-05,-0.0013807384407395406,-0.0021287279589247273,-0.005483910874412758,-0.00045719568493030147,0.0018760510658129104
fingerprint_H_bit_118,0.0012385455061307113,-0.0016780936542767863,0.0029793588916489375,-0.001238416594774533,0.00386284733681799,-0.0018347567384929611,0.006477692087667535,-0.0003026173416730551,0.010784022965245096,-0.00199912039039223,-0.003097649962289556,-0.004352655403804077,0.006173626724448036,0.003971922070903504,0.003598881555662291
fingerprint_H_bit_119,0.001308921656035455,-0.0018197577147378101,0.0027588513654095387,-0.0012041762102392626,0.0036122385554393944,-0.0010342213988311934,0.004130872573875684,-0.000576515990229576,0.01340087433334968,0.00018970558307812945,0.0037729138983859448,0.008257178641881467,-0.006055770082906339,0.004414510023698492,0.00989260400399677
fingerprint_H_bit_120,-0.00021555113259791718,0.0018700343358107325,-0.000837509198567333,0.0005741436685542631,0.0020425927323516275,-0.0003824662779062444,-0.0015370547705378381,-0.0004680659703695547,0.013449776057898124,-0.006087353899358809,-0.018963077408167647,0.01937380463573473,-0.01961316436842765,-0.025289503084308617,-0.014062108725000475
fingerprint_H_bit_121,-0.00015475029303469904,0.0019401137587798825,-0.0008258915987234004,-0.00022051888420345606,0.0016312204292815706,-6.903133099118744e-05,-0.0015392502059753408,-0.000464843278150479,0.014378436501149833,-0.007377167412856185,-0.0220037352805604,0.017244680025656788,-0.004375368960105376,-0.023788063377887976,-0.011429463119198038
fingerprint_H_bit_122,-5.622320429474829e-05,-7.558298632848663e-05,-0.00032744494013306404,-0.00016667060353267937,-0.0002773377205975309,-7.920481106261298e-05,-0.0007917857367553491,0.0009194472805955032,0.002465722743783583,-0.0013655949158887552,-9.973891435034232e-05,-0.007571080559074452,0.01045534436985564,0.014226361666025701,0.010751495392981385
fingerprint_H_bit_123,-0.00015023671538684562,0.002078277221019723,-0.00047525423066045145,-0.0004288904737612193,0.0017614557234034488,0.00017818535356682748,-0.0011894126857164844,-0.0003088593098769638,0.016204737017814434,-0.004436465248486275,-0.007667405054008763,0.010374396961412218,-0.009754477619227455,-0.020498366925186317,-0.01290832546735407
fingerprint_H_bit_124,-3.652201764184455e-05,-2.7295441861692674e-05,-9.331776963814419e-05,-1.5440451529219292e-05,-0.00012079172970344737,2.5401153783676355e-05,0.00028728836532333654,0.0007712464851139474,0.0015392901787373518,-3.824397836645266e-05,-0.0013807384407395406,-0.0021287279589247273,-0.005483910874412758,-0.00045719568493030147,0.0018760510658129104
fingerprint_H_bit_125,0.00032426858674099694,-0.0013523674153387518,0.002536121977688926,-0.0006958065946691295,-0.001220846988812279,0.000467509634037759,0.004021701293670366,0.00018457200510073508,-0.020375221372382082,0.01024428911258185,0.03939933651183585,-0.0118883874208581,-0.00452493386623224,-0.007786330342327225,-0.0035339845627763065
fingerprint_H_bit_127,-5.622320429474829e-05,-7.558298632848663e-05,-0.00032744494013306404,-0.00016667060353267937,-0.0002773377205975309,-7.920481106261298e-05,-0.0007917857367553491,0.0009194472805955032,0.002465722743783583,-0.0013655949158887552,-9.973891435034232e-05,-0.007571080559074452,0.01045534436985564,0.014226361666025701,0.010751495392981385
fingerprint_H_bit_128,0.0012020234884888674,-0.0017053890961384814,0.002886041122010795,-0.0012538570463037524,0.0037420556071145424,-0.0018093555847092828,0.006764980452990869,0.0004686291434408908,0.012323313143982453,-0.002037364368758689,-0.004478388403029095,-0.006481383362728805,0.0006897158500352753,0.0035147263859731928,0.005474932621475194
fingerprint_H_bit_130,-4.382925252179709e-05,-5.30809787221554e-05,-0.0002384882833736158,0.00023117193311996193,7.290254255608299e-05,0.000163329008585736,0.00045697362976492397,0.0011148984787787291,0.0009716600589041039,0.001508824950858003,-0.000864809354917817,-0.003587154873518917,-0.004516673967120696,-0.0011094842826203084,-0.004071240791885028
fingerprint_H_bit_131,-7.037614990474353e-05,0.00014166406046102332,0.00022050752623939933,-3.4240384535268195e-05,0.000250608781378599,-0.0008005353396617639,0.002346819513791851,0.0002738986485565201,-0.002616851368104587,-0.002188825973470364,-0.006870563860675502,-0.012609834045685539,0.012229396807354378,-0.0004425879527949798,-0.006293722448334485
fingerprint_H_bit_133,-0.0009429356684099173,-0.00014653408916265477,0.000523658459191979,0.003093550850892166,-0.0047034617467898035,0.000763421974135548,-0.0046589576100742654,0.0004911605269651537,-0.02055284881141386,0.0018778675306790234,0.006988426238477414,-0.02446987166177665,0.012088971092688187,-0.031760477092794136,-0.034750950885287145
fingerprint_H_bit_134,-0.00015023671538684562,0.002078277221019723,-0.00047525423066045145,-0.0004288904737612193,0.0017614557234034488,0.00017818535356682748,-0.0011894126857164844,-0.0003088593098769638,0.016204737017814434,-0.004436465248486275,-0.007667405054008763,0.010374396961412218,-0.009754477619227455,-0.020498366925186317,-0.01290832546735407
fingerprint_H_bit_138,0.00032426858674099694,-0.0013523674153387518,0.002536121977688926,-0.0006958065946691295,-0.001220846988812279,0.000467509634037759,0.004021701293670366,0.00018457200510073508,-0.020375221372382082,0.01024428911258185,0.03939933651183585,-0.0118883874208581,-0.00452493386623224,-0.007786330342327225,-0.0035339845627763065
fingerprint_H_bit_139,-0.0008726243431874291,0.002373954592125026,0.0019592237712498114,0.0018057022955574806,-0.0034405793569283858,0.001260084168308136,-0.00864803212855375,-0.00035253017008803517,0.004047749674532156,-0.0018747014418467392,0.0005877753146753537,0.003894447952666399,-0.00906471706244716,-0.021959800796187468,-0.021134538652891506
fingerprint_H_bit_143,-0.00015023671538684562,0.002078277221019723,-0.00047525423066045145,-0.00042889047376121897,0.001761455723403448,0.00017818535356682748,-0.0011894126857164853,-0.00030885930987696337,0.016204737017814434,-0.004436465248486277,-0.007667405054008769,0.01037439696141222,-0.009754477619227455,-0.020498366925186317,-0.01290832546735407
fingerprint_H_bit_144,-7.037614990474353e-05,0.00014166406046102332,0.00022050752623939933,-3.4240384535268195e-05,0.000250608781378599,-0.0008005353396617639,0.002346819513791851,0.0002738986485565201,-0.002616851368104587,-0.002188825973470364,-0.006870563860675502,-0.012609834045685539,0.012229396807354378,-0.0004425879527949798,-0.006293722448334485
fingerprint_H_bit_145,0.001091764860521642,0.0001451873038569089,0.0017018419115447,-0.0015051942367252308,0.005359401233122777,-0.0007109081749204648,0.000949800239638276,6.062603358584145e-06,0.03405653784717662,-0.0035410732140312116,-0.003284532769911758,0.005063728530847818,0.005842873336209751,0.009107257065010905,0.018790656974139903
fingerprint_H_bit_147,0.001092024412633653,-0.0014911088103678777,0.0013474685954894038,-0.0015075460431284472,0.004679333961833398,-0.0020188194150828594,0.008845031970804875,-0.0011503590565374242,-0.007503232275413931,0.0049853436523195375,0.0050394374451661235,0.014102426989431371,-0.007420194107065804,0.0253712344648307,0.03179450933758646
fingerprint_H_bit_151,-0.0007778480081489365,0.0007233603839189473,0.0020137817422387102,0.001469587729763677,-0.004488973976530749,0.0008141173009769101,-0.00506378352497815,-0.0001997178737322,-0.024244323743221878,0.008834358720171801,0.012814554406066082,0.01018397765413869,-0.009546456216609807,0.034233229107553574,0.02344720980239226
