POLYMER_USED,DRUG,WATER_PH,CONCENTRATION,CAPACITY,SOURCE
Graphene oxide-ionic liquids,Ketoprofen,8,50,87.88,https://link.springer.com/article/10.1007/s41742-025-00825-4
Nitrogen-doped reduced graphene oxide/Fe3O4 nanocomposite,Ketoprofen,7,20,468,https://link.springer.com/article/10.1007/s41742-025-00825-4
Nitrogen-doped reduced graphene oxide/Fe3O4 nanocomposite,Norfloxacin,10,20,158,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetic genipin-crosslinked chitosan/graphene oxide-SO3H composite,Ibuprofen,6,10,138,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetically modified graphene nanoplatelets,Amoxicillin,5,10,14.10,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide,Carbamazepine,2.0,50,28.24,https://link.springer.com/article/10.1007/s41742-025-00825-4
Graphene oxide-ionic liquids,Carbamazepine,2.0,50,61.88,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 nanoparticle,Levofloxacin,6.5,20,6.848,https://link.springer.com/article/10.1007/s41742-025-00825-4
NiFe2O4/biochar composites,Levofloxacin,6,40,172,https://link.springer.com/article/10.1007/s41742-025-00825-4
Biochar/MgFe2O4,Levofloxacin,5,100,115,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetic NPs coated with Rhamnolipids (Rh-cMNP),Acetaminophen,5,60,96,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetic mesoporous silica microspheres,Acetaminophen,5,150,311,https://link.springer.com/article/10.1007/s41742-025-00825-4
"Iron, copper oxides composite particles (Fe/Cu oxides CPs)",Norfloxacin,8.12,15,1.64,https://link.springer.com/article/10.1007/s41742-025-00825-4
"Iron, copper oxides composite particles (Fe/Cu oxides CPs)",Ofloxacin,8.87,15,1.26,https://link.springer.com/article/10.1007/s41742-025-00825-4
MgFe2O4,Chlorpyrifos,10,20,4461,https://link.springer.com/article/10.1007/s41742-025-00825-4
MgO,Linezolid antibiotic,10,100,123.45,https://link.springer.com/article/10.1007/s41742-025-00825-4
ZnO-MgO nanocomposites,Linezolid antibiotic,10,100,140.28,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4@C Matrix,Acetylsalicylic acid,3,100,234,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4/Douglas fir biochar,Acetylsalicylic acid,8,100,150,https://link.springer.com/article/10.1007/s41742-025-00825-4
(α-Fe2O3),Cephalexin,7.5,150,70,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetic Fe3O4 NPs coated zeolite,Cephalexin,7,40,25,https://link.springer.com/article/10.1007/s41742-025-00825-4
MnO2@carbonmicrospheres,Amoxicillin,7,40,16.094,https://link.springer.com/article/10.1007/s41742-025-00825-4
Magnetic cadmiumbased MOFs modified with chitosan 
(Fe3O4@Cd-MOF@CS),Amoxicillin,8,50,103,https://link.springer.com/article/10.1007/s41742-025-00825-4
Mn-Zn ferrite/biochar (MZF-BC),Tetracycline,3,50,142,https://link.springer.com/article/10.1007/s41742-025-00825-4
NiFe2O4-COF-chitosanterphthalaldehyde nanocomposites film,Tetracycline,8,100,388.52,https://link.springer.com/article/10.1007/s41742-025-00825-4
NiFe2O4-COF-chitosanterphthalaldehyde nanocomposites film,Cefotaxime,4,100,309.26,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4/CD/AC/SA,Norfloxacin,5,20,2.551,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4/CD/AC/SA,Ciprofloxacin,5,20,3.125,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4/red mud,Ciprofloxacin,6,3,110.15,https://link.springer.com/article/10.1007/s41742-025-00825-4
Amine-coated magnetic Nanocomposite NiFe2O4@SiO2,Ibuprofen,7,12,59,https://link.springer.com/article/10.1007/s41742-025-00825-4
Rape straw biomass fiber/β-Cyclodextrin/Fe3O4,Ibuprofen,6,100,48,https://link.springer.com/article/10.1007/s41742-025-00825-4
Plantain peel activated carbon-supported zinc oxide (PPAC-ZnO) nanocomposite,Chloroquine for COVID-19 treatment,5,50,50.5,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polyacrylonitrile/Polyaniline (PAN/PANI),Chloroxylenol,7,50,429.18,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polyacrylonitrile/Polyaniline (PAN/PANI),Ibuprofen,7,50,613.50,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polyacrylonitrile/Polyaniline (PAN/PANI),N-diethyl-meta-toluamide,7,50,384.61,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polypyrrole functionalized Calotropis gigantea fiber (PPy-O-CGF),Enrofloxacin,6,100,78.27,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polypyrrole functionalized Calotropis gigantea fiber (PPy-O-CGF),Ciprofloxacin,6,100,76.61,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polypyrrole functionalized Calotropis gigantea fiber (PPy-O-CGF),Norfloxacin,6,100,68.90,https://link.springer.com/article/10.1007/s41742-025-00825-4
PPy-PANI copolymer,Metronidazole,6.2,10,63.84,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(aniline-co-pyrrole),Phenylbutazone,6,0.1,238.8,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(aniline-co-pyrrole),Ceftiofur,6,0.1,13.66,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(aniline-co-pyrrole),Prednisolone,6,0.1,35.62,https://link.springer.com/article/10.1007/s41742-025-00825-4
Functional Polyaniline/multiwalled carbon nanotube composite (PANI/MWCNT),Meloxicam,2,0.1,221.2,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polyaniline-deposited cellulose fiber composite,Meloxicam,2,2,169.5,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(aniline-co-pyrrole)/multi-walled carbon nanotubes,Anti-inflammatory,6,0.1,159.9,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(aniline-co-pyrrole)/multi-walled carbon nanotubes,Phenylbutazone,6,0.1,172.7,https://link.springer.com/article/10.1007/s41742-025-00825-4
Pristine polypyrrole,Diclofenac,6,1.5,221.23,https://link.springer.com/article/10.1007/s41742-025-00825-4
Pristine polypyrrole,Moxidectin,6,1.5,87.46,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polypyrrole/Zinc oxide (PPy/ZnO),Paracetamol,7,5,25.51,https://link.springer.com/article/10.1007/s41742-025-00825-4
Amberlite-XAD-16 polymer,Cephalexin,3,25,116,https://link.springer.com/article/10.1007/s41742-025-00825-4
Amberlite-XAD-4 polymer,Cephalexin,3,25,357,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(styrene-block-acrylic acid) deblock copolymer/Fe3O4 magnetic,Ciprofloxacin,7,5,15.52,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polyaniline/Graphene Oxide Based Nanocomposites,Ciprofloxacin,6,100,106.38,https://link.springer.com/article/10.1007/s41742-025-00825-4
Polyaniline-coated magnetic nanoparticles,Diclofenac,4,25,34.43,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 coated polymer (clay: chitosan) composite,Atenolol,10,40,15.6,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 coated polymer (clay: chitosan) composite,Ciprofloxacin,7,40,39.1,https://link.springer.com/article/10.1007/s41742-025-00825-4
Fe3O4 coated polymer (clay: chitosan) composite,Gemfibrozil,4,40,24.8,https://link.springer.com/article/10.1007/s41742-025-00825-4
Chitosan-carbon nanotubes,Amoxicillin,7,40,23.1,https://link.springer.com/article/10.1007/s41742-025-00825-4
Chitosan-carbon nanotubes,Ciprofloxacin,7,40,23.7,https://link.springer.com/article/10.1007/s41742-025-00825-4
Chitosan-carbon nanotubes,Sulfamethoxazole,7,40,25.17,https://link.springer.com/article/10.1007/s41742-025-00825-4
Poly(acrylic acid) grafted chitosan/Graphite oxide,Dorzolamide,3,100,334,https://link.springer.com/article/10.1007/s41742-025-00825-4
